Acao;Hora;Ultima;VarDia;VarSemana;VarMes;VarAno;MinDia;MaxDia;Volume
WEGE3;16h47;38,49;2,86;7,54;25,74;31,46;37,29;38,58;327500000,0
AURE3;16h47;10,77;2,09;6,85;26,11;5,48;10,4;10,79;34800000,0
SBSP3;16h47;129,13;2,0;1,53;50,34;44,57;125,18;129,19;371500000,0
CPLE6;16h47;12,78;2,0;0,62;46,06;34,24;12,48;12,86;190600000,0
ABEV3;16h47;12,22;1,92;1,92;8,43;2,26;11,92;12,23;257800000,0
COGN3;16h47;3,06;1,66;7,55;191,43;126,67;2,93;3,09;75900000,0
MBRF3;16h47;15,58;1,63;19,77;20,91;20,91;14,9;15,74;238600000,0
ENEV3;16h47;16,77;1,51;0,12;75,6;17,19;16,39;16,82;102600000,0
EGIE3;16h47;40,4;1,46;1,54;19,39;2,43;39,63;40,64;70100000,0
BBDC4;16h47;17,59;1,32;1,27;63,17;26,27;17,21;17,7;627600000,0
MOTV3;16h47;14,3;1,27;3,25;44,74;19,77;13,96;14,38;90100000,0
BBDC3;16h47;14,95;1,08;0,2;51,16;22,74;14,63;15,06;57200000,0
KLBN11;16h47;17,66;0,91;3,18;21,2;8,64;17,39;17,67;50000000,0
RDOR3;16h47;40,85;0,81;1,66;64,78;37,17;40,22;41,25;102700000,0
CXSE3;16h47;14,75;0,75;2,77;9,1;11,83;14,53;14,75;28700000,0
ENGI11;16h47;49,25;0,72;2,57;46,14;18,88;48,23;49,39;53700000,0
TIMS3;16h47;23,26;0,65;0,39;73,45;44,83;22,88;23,33;65099999,99999999
SANB11;16h47;28,06;0,47;3,07;23,29;2,07;27,52;28,24;54100000,0
CPFE3;16h47;39,14;0,46;0,82;34,18;28,24;38,79;39,51;36500000,0
LREN3;16h47;14,31;0,42;5,54;23,36;12,37;14,09;14,49;134600000,0
VIVA3;16h47;27,91;0,4;3,89;55,57;7,39;27,25;28,27;60400000,0
BBAS3;16h47;20,39;0,39;6,98;11,57;19,21;20,02;20,61;436300000,0
EQTL3;16h47;35,82;0,36;2,45;36,93;11,48;35,32;35,96;161200000,0
TAEE11;16h47;36,44;0,3;1,33;17,62;12,54;36,1;36,61;39700000,0
ELET3;16h47;53,19;0,26;0,7;66,32;52,1;52,27;53,52;376000000,0
ELET6;16h48;56,17;0,21;0,75;55,08;45,41;55,2;56,45;42500000,0
IRBR3;16h47;46,63;0,21;6,25;4,74;7,77;46,32;46,84;14700000,0
SUZB3;16h47;47,7;0,15;4,39;23,56;10,0;47,25;47,93;124100000,0
NATU3;16h47;8,24;0,12;10,34;33,92;45,47;8,15;8,3;51500000,0
CEAB3;16h47;16,35;0,12;0,31;119,46;37,63;16,07;16,67;65700000,0
RADL3;16h47;19,61;0,1;7,93;8,62;22,09;19,18;19,66;106400000,0
ISAE4;16h47;24,07;0,04;3,41;14,51;5,99;23,86;24,17;19800000,0
HYPE3;16h47;21,48;0,05;6,81;24,45;15,83;21,21;21,65;46100000,0
EMBR3;16h47;80,58;0,06;0,24;39,56;65,39;79,38;81,18;295900000,0
BEEF3;16h47;6,73;0,15;0,74;73,45;51,58;6,62;6,8;47000000,0
RECV3;16h47;12,21;0,16;3,55;22,03;21,58;12,05;12,32;32700000,000000004
B3SA3;16h47;12,61;0,24;3,67;25,35;17,08;12,42;12,73;308400000,0
CMIG4;16h47;10,69;0,28;1,02;7,65;8,64;10,57;10,74;50000000,0
ITUB4;16h47;37,34;0,29;2,63;43,34;26,28;37,1;37,79;438000000,0
SLCE3;16h47;15,74;0,32;4,14;7,08;7,74;15,66;15,81;25200000,0
IGTI11;16h47;23,08;0,35;4,94;38,04;11,23;22,88;23,29;22600000,0
ITSA4;16h47;10,97;0,36;2,92;38,51;20,29;10,88;11,1;109200000,0
VIVT3;16h47;32,4;0,4;4,34;44,43;26,8;32,18;32,54;103300000,0
DIRR3;16h47;14,84;0,47;8,23;84,35;61,13;14,6;14,91;35600000,0
BBSE3;16h47;31,85;0,5;4,67;1,79;5,08;31,78;32,06;75200000,0
BRAP4;16h47;17,22;0,52;1,18;10,17;1,66;17,17;17,35;23000000,0
PSSA3;16h47;46,43;0,54;5,44;33,53;31,23;46,3;46,69;51800000,0
CYRE3;16h47;28,87;0,55;6,08;81,8;34,53;28,71;29,23;56600000,0
FLRY3;16h47;15,38;0,65;3,63;35,63;8,54;15,3;15,57;16600000,000000002
YDUQ3;16h47;11,86;0,67;6,91;43,93;15,15;11,7;12,08;24800000,0
POMO4;16h47;8,42;0,71;2,55;16,46;3,19;8,27;8,52;52400000,0
TOTS3;16h47;42,0;0,73;6,29;60,73;49,25;41,57;42,13;92200000,0
MULT3;16h47;27,09;0,88;6,1;35,11;9,28;26,92;27,4;72200000,0
VALE3;16h47;60,28;0,95;3,38;18,87;4,24;60,07;60,93;1100000000,0
CURY3;16h47;31,09;0,99;8,04;90,04;43,74;30,81;31,29;48100000,0
GGBR4;16h47;17,73;1,0;4,6;1,2;0,8;17,57;17,89;152100000,0
PRIO3;16h47;34,25;1,01;10,78;15,99;19,92;34,18;34,86;249000000,0
